,Mon:1,Mon:2,Mon:R1,Mon:R2,Mon:3,Mon:4,Mon:5,Mon:6,Tue:1,Tue:2,Tue:R1,Tue:R2,Tue:3,Tue:4,Tue:5,Tue:6,Wed:1,Wed:2,Wed:R1,Wed:R2,Wed:3,Wed:4,Wed:5,Wed:6,Thu:1,Thu:2,Thu:R1,Thu:R2,Thu:3,Thu:4,Thu:5,Thu:6,Fri:1,Fri:2,Fri:R1,Fri:R2,Fri:3,Fri:4,Fri:5,Fri:6
16,PL06,BU04,,,AU08,BL06,AU03,,ML02,ML04,,,CL07,BL02,ML08,,AU05,AU08,,,CU05,CL04,AU04,,ML05,MU03,,,AU07,CU03,ML05,,PU02,CL02,,,ML05,AU05,AL05,
17,CL02,AL07,,,CU05,CL07,BL05,,AU03,AL05,,,AU02,PL01,PU03,,PL02,AL07,,,AU06,MU04,AU03,,CU08,CL03,,,BU02,AL03,AU06,,CU01,BL08,,,CL02,CL03,AU05,
18,AL07,PU01,,,PU08,AU07,BU06,,PU03,CL03,,,BU06,BL04,ML01,,AL06,PU08,,,BU05,PL02,MU05,,CU06,AU02,,,BL01,CU06,CL07,,CL02,CU02,,,MU01,BU08,AU06,
19,AU03,ML01,,,MU06,AU01,PL04,,PL06,ML02,,,BL07,BU04,BU03,,BU06,CU02,,,BL07,CU02,CL06,,CU05,AU07,,,PU02,AL06,PU05,,CU05,BL03,,,CL05,MU07,CL04,
20,BL08,PL02,,,PU01,CL03,PU05,,CU06,MU08,,,PU07,BU01,BL03,,BU08,AU01,,,BL03,AU01,CU01,,AU04,PL05,,,MU04,BU02,AL07,,MU05,PL03,,,AU08,CL07,PL07,
21,PU08,MU02,,,AL05,BU01,BU05,,CU01,BL08,,,PL02,PL08,PL04,,PU02,BL06,,,MU07,BU07,BL01,,AU05,AU06,,,CU08,AL02,AU02,,AL02,PU05,,,ML02,AL03,BL08,
22,PU01,BU02,,,CU04,BU08,MU07,,PU08,AU04,,,MU01,AU02,PL03,,ML07,BL01,,,ML08,CU01,BU01,,MU08,BL08,,,PL08,MU01,CL08,,CU03,AU02,,,AL02,AL07,CU03,
23,BU04,ML06,,,AL01,AL03,BU07,,PU07,PL02,,,CU03,CL07,CU05,,ML03,PU08,,,BL06,PU05,CU05,,MU04,PU04,,,AU06,CL06,CL01,,AL01,BU08,,,ML03,PL01,CL06,
24,MU08,BL03,,,AU04,ML08,PU01,,AL06,AU02,,,PL01,BU08,AL01,,AU03,BL08,,,PL02,PL01,MU07,,BL02,ML06,,,BU06,ML04,BU05,,BU08,AL02,,,CU01,BU06,CU08,
25,BU06,BU01,,,CL04,BU07,CL08,,BU03,AL04,,,BU01,PL02,ML06,,MU02,PL06,,,PU07,PU06,MU08,,AU01,AL04,,,PU03,ML08,PL08,,BU07,CL05,,,MU06,CU02,AU03,
26,AL02,BL07,,,CL07,CU01,MU06,,PL07,BL05,,,CU04,CL03,MU02,,BU04,ML08,,,AU08,CL02,BU05,,BU08,BL02,,,BL03,CU04,PU06,,CL06,AU08,,,CU03,CL06,CU06,
27,CU06,BU05,,,PL02,MU03,ML03,,BL04,AL06,,,BL08,ML05,CL04,,BL03,AU05,,,PL01,MU03,MU01,,ML02,ML07,,,CU03,CU06,CU04,,AU05,ML06,,,BL02,BU04,BL05,
28,CU02,PU06,,,BU08,ML07,CU05,,BL01,ML06,,,MU04,MU08,BL07,,PL05,AL04,,,CU07,CL08,AL08,,PU07,CU03,,,AU01,MU08,CL04,,PU04,PU08,,,AL08,MU04,BL06,
29,MU03,AL08,,,CU08,CU06,PU07,,AL07,BL01,,,ML02,CL05,BL06,,BL05,ML07,,,BL04,ML04,AU06,,AL07,CU06,,,PU04,BL07,MU05,,AU02,PL04,,,BU04,ML05,BU05,
30,PL08,PU03,,,AL06,CU08,ML05,,BU08,CL02,,,AU07,CU06,CL06,,BU02,MU02,,,BL01,PL03,PU07,,ML04,MU04,,,CU08,BU06,CL06,,AU04,CU07,,,MU07,MU06,PL01,
31,MU07,CU06,,,MU02,BL05,PL02,,BL07,PL06,,,BL04,CL08,MU03,,ML05,CU08,,,PU01,ML07,BL08,,AU07,PU01,,,CU01,CL02,CU05,,CU07,AL07,,,PL04,AU01,ML07,
32,BU02,BU02,,,ML04,AU02,ML01,,CL08,CL06,,,PU02,CU01,CU07,,AL01,BU06,,,BU08,PL04,ML07,,PL04,MU06,,,MU04,BU07,AL01,,BL07,PL05,,,BL08,CU04,PL03,
33,CL04,MU07,,,ML01,MU02,BL08,,MU02,MU02,,,CU05,BL01,PL01,,CU04,BU04,,,AU02,MU05,ML05,,BL05,BL04,,,PL02,BL01,BL08,,AU07,AU07,,,CL01,PU04,AL05,
34,ML02,CU05,,,AU01,CL05,AU02,,CL07,BU05,,,CL03,PU01,AU01,,PU01,MU08,,,BU01,AU05,PU06,,AU08,AU05,,,BL04,PL08,CU06,,AU05,CL08,,,ML04,PL03,PL08,
35,CU07,AU04,,,BU05,PU05,MU02,,BU07,PU08,,,BL03,BU07,AU04,,CU03,ML06,,,ML01,BL03,BL07,,PL01,PU03,,,CU04,ML05,ML01,,ML04,CU01,,,PU04,BL08,CU05,
36,AL05,PL06,,,CL06,PU07,BL03,,MU05,MU03,,,BU04,ML03,MU07,,PL06,CU02,,,AU07,MU07,PL01,,CU03,BU02,,,AU03,MU04,AU05,,MU03,BL01,,,PL05,CU02,PL05,
37,PU04,MU03,,,AL08,CU07,BL07,,AU08,ML07,,,AL06,MU07,ML03,,CU06,ML01,,,CU03,PU03,AU05,,PU03,CL01,,,MU06,PU03,MU06,,AU08,PU01,,,CU04,PL06,PL02,
38,PU06,CL04,,,AU02,CL01,CU04,,AU02,BL04,,,PU08,PU08,CU02,,MU05,PL03,,,ML05,PL06,MU03,,BU07,BU06,,,PL06,PU04,ML06,,CU04,PL03,,,BL05,PU07,MU03,
39,MU05,CL06,,,BL03,AL01,PU07,,PL06,BU04,,,AL02,PU05,MU05,,PU07,MU03,,,MU02,AU03,PU08,,CU01,,,,,AU06,BU04,,PU01,MU03,,,PU01,ML08,BU02,
40,ML07,BU06,,,MU04,BU03,MU03,,CL03,BU07,,,PU05,MU05,PU07,,AU08,AL03,,,PU08,PU07,,,CL08,,,,,AU08,BU03,,PU03,AL04,,,CU02,PU01,ML04,
41,PU05,CL05,,,CL05,BU07,MU05,,MU07,PL04,,,PU01,BL03,PU06,,MU01,BL07,,,CL08,CL06,,,CU02,,,,,BL08,MU02,,BL04,BU03,,,AL03,PL04,AU02,
42,AU07,ML07,,,CU02,BL01,AU05,,PU04,PU04,,,PU04,MU06,CU04,,PL08,CU04,,,MU06,AU02,,,CL05,,,,,AU03,ML07,,CL03,MU07,,,PL02,BU07,AL06,
43,CU04,AU02,,,MU03,PL06,BU07,,MU04,BL07,,,CU01,PL07,AU03,,AU01,PU06,,,CL02,CL07,,,CL06,,,,,AU01,PU08,,BL02,CU02,,,AU03,BL04,PU08,
44,AU04,ML03,,,AL02,ML01,CL02,,AU06,MU05,,,MU08,BL05,PL06,,CU07,BU05,,,PL07,BU04,,,CU06,,,,,PL07,PL05,,BL06,AU04,,,CU06,AL04,MU01,
45,MU08,ML08,,,MU07,CU08,CL08,,PL01,BL01,,,MU02,PL04,MU06,,ML08,BL06,,,AU03,CU07,,,MU03,,,,,BU05,AU08,,MU05,AL03,,,BU03,CL02,BL01,
46,BL01,CU03,,,CU06,BL03,CU02,,PU02,AU08,,,ML08,MU02,AL07,,ML06,CL06,,,MU08,CU06,,,PU05,,,,,ML08,BU01,,MU08,BL02,,,CL03,MU03,AU01,
47,BU03,ML02,,,BL08,BL04,MU01,,AL06,PU06,,,BU05,CU03,MU02,,BL06,AL03,,,ML06,PL08,,,BL08,,,,,MU05,PL04,,CL08,MU04,,,AU02,MU02,MU04,
48,ML06,MU05,,,CL01,CL03,BL02,,ML05,AU01,,,BL07,MU01,PU05,,MU04,,,,,BL02,,,BU06,,,,,ML06,CU03,,BL01,AL01,,,BL06,PL02,CL02,
49,CU01,CL06,,,BL04,PL04,BU02,,PU07,ML08,,,AU06,CL03,CU03,,BU06,,,,,BU02,,,PL05,,,,,AU07,BL02,,PL08,ML01,,,ML01,CU05,BU07,
50,AU02,AL06,,,MU01,AL08,BU04,,PL07,BU01,,,PL08,,AL06,,MU06,,,,,PL05,,,BU01,,,,,AL05,BL03,,AL01,ML05,,,AL06,MU07,BU02,
51,BL07,MU04,,,AU03,CL07,AU08,,AU03,PU03,,,AU04,,CL02,,CU02,,,,,BU06,,,BU05,,,,,CU02,AL02,,ML01,AU01,,,AU04,CU06,CL07,
52,ML04,CL03,,,AU06,ML06,CU01,,BU06,BU03,,,PL07,,AU07,,AU02,,,,,ML02,,,ML08,,,,,CU05,BU02,,CU07,AU03,,,BU07,AU03,BU04,
53,CL01,CL01,,,PL07,PU01,AU07,,BL08,BU02,,,AU08,,MU05,,PL01,,,,,ML06,,,MU08,,,,,PU02,ML02,,,CL03,,,ML06,CU03,CL08,
54,PL05,PL07,,,MU08,PU05,CU08,,PU06,BU08,,,PL03,,CU08,,BU01,,,,,PU08,,,PU07,,,,,CL05,BU08,,,MU06,,,AU06,BL06,PL04,
55,MU06,PU02,,,BL07,PU06,CU03,,PU01,AU05,,,AL07,,MU04,,MU02,,,,,BL04,,,AL06,,,,,ML07,PL03,,,AL08,,,PL01,AU02,CL01,
56,BL02,PU08,,,BL01,CU05,AL02,,MU05,PL03,,,MU07,,BU06,,PU04,,,,,PU06,,,PL01,,,,,CU07,AL06,,,ML03,,,MU07,PU08,PL06,
57,BL05,BU03,,,PU03,MU04,BU01,,PL04,BU06,,,PU03,,ML08,,,,,,,AL03,,,MU07,,,,,BL02,PU01,,,AU05,,,PU02,PL06,ML08,
58,ML05,BL06,,,PU07,AU01,PL05,,,AU07,,,AL01,,PU02,,,,,,,MU01,,,PL08,,,,,AU07,PU05,,,MU05,,,CU05,AU05,CU01,
59,ML01,CL07,,,PL06,CU04,CU06,,,ML06,,,CU06,,MU05,,,,,,,PU02,,,AL02,,,,,BU01,BU04,,,PU04,,,CL02,PU07,AL07,
60,MU02,CU02,,,ML05,AL07,PL03,,,ML03,,,CU01,,CU01,,,,,,,MU02,,,CU01,,,,,CL04,PU02,,,CU06,,,BU02,CU07,PL05,
61,PU02,AU01,,,PU02,PU02,ML04,,,PU05,,,PU08,,AU06,,,,,,,AL04,,,PU02,,,,,,BL04,,,AL02,,,PU08,AU01,AU07,
62,PU07,BL07,,,PL04,BL05,AL01,,,CU06,,,ML07,,CL08,,,,,,,ML01,,,CL04,,,,,,PU04,,,BL04,,,MU01,BL07,PU01,
63,AU08,MU07,,,BU06,PL02,ML03,,,PL03,,,BU08,,PL08,,,,,,,PL07,,,PU01,,,,,,AU07,,,PU03,,,PL06,AU07,ML05,
64,CL03,PL05,,,PU06,AU06,BL06,,,,,,CL03,,BU01,,,,,,,CL03,,,MU02,,,,,,MU05,,,PL02,,,BL03,PL07,AU05,
65,PU03,BL03,,,PL05,CL08,ML06,,,,,,CU02,,BL01,,,,,,,BL08,,,BU02,,,,,,CU07,,,BU04,,,BL06,BU02,PU06,
66,CU03,ML04,,,CU03,PU08,CL06,,,,,,ML06,,,,,,,,,AL05,,,MU03,,,,,,CL02,,,AU02,,,CL01,MU06,BL04,
67,MU04,BL08,,,CL06,CU01,PL06,,,,,,CL06,,,,,,,,,PL06,,,PL06,,,,,,AL08,,,PU08,,,CL04,CL04,PU07,
68,BL06,AU06,,,ML06,BL04,BL02,,,,,,PL06,,,,,,,,,AU04,,,BU03,,,,,,PU07,,,MU07,,,PU05,PL01,MU01,
69,PU04,CU07,,,CL02,AU08,BL01,,,,,,BU07,,,,,,,,,PU04,,,BL04,,,,,,AU07,,,ML06,,,BU08,ML02,,
70,ML02,PL08,,,MU03,CU03,PU02,,,,,,CL02,,,,,,,,,AU03,,,CU06,,,,,,CU01,,,BU02,,,BL01,MU08,,
,CL06,AL04,,,ML02,ML02,AL05,,,,,,BU03,,,,,,,,,PU01,,,BU07,,,,,,MU01,,,BL06,,,BL07,BL05,,
,PL04,CU06,,,AU07,MU08,PL02,,,,,,BL04,,,,,,,,,CL01,,,AL04,,,,,,PL08,,,CU07,,,MU08,PU05,,
,AU05,AL05,,,ML07,MU06,MU04,,,,,,AL03,,,,,,,,,ML06,,,BU04,,,,,,BL07,,,BL07,,,BU06,PU03,,
,BL04,CU08,,,BL02,AL05,PL01,,,,,,BL06,,,,,,,,,PU07,,,CU04,,,,,,AU04,,,ML08,,,ML03,PU02,,
,AL01,CU04,,,CU04,BL03,CU03,,,,,,PU07,,,,,,,,,CU08,,,CL08,,,,,,PL06,,,BU02,,,MU05,AU08,,
,BL07,MU08,,,PL03,AL04,BL03,,,,,,PU06,,,,,,,,,CU01,,,BL06,,,,,,BL01,,,PU05,,,PL07,CU04,,
,ML03,PL03,,,BU07,BU07,PU03,,,,,,,,,,,,,,,BL06,,,,,,,,,PL07,,,MU08,,,AU06,BL03,,
,ML08,BU07,,,BL06,AL08,PU04,,,,,,,,,,,,,,,BU08,,,,,,,,,CL07,,,AU04,,,BL08,AL03,,
,AU01,MU02,,,MU07,CL06,CL05,,,,,,,,,,,,,,,PL02,,,,,,,,,ML07,,,CU01,,,PL08,BL01,,
,PL01,BU04,,,ML04,MU07,CL01,,,,,,,,,,,,,,,BU06,,,,,,,,,PL02,,,CL04,,,MU02,,,
,BU08,BL01,,,PL03,PL08,BL07,,,,,,,,,,,,,,,BL07,,,,,,,,,CU02,,,MU05,,,PL06,,,
,MU03,AL02,,,CU06,AU02,AU01,,,,,,,,,,,,,,,MU01,,,,,,,,,PL01,,,PU01,,,PL05,,,
,BU01,ML01,,,BU05,ML07,CL07,,,,,,,,,,,,,,,CL03,,,,,,,,,BU01,,,CU04,,,PL04,,,
,PL02,ML05,,,BL03,BU08,ML01,,,,,,,,,,,,,,,CL04,,,,,,,,,AU01,,,CU06,,,AL07,,,
,MU05,BL05,,,CL05,BU04,BU08,,,,,,,,,,,,,,,BL05,,,,,,,,,CU08,,,AU06,,,CU02,,,
,CU01,AU03,,,PU04,BU02,MU07,,,,,,,,,,,,,,,PL04,,,,,,,,,CL01,,,AL03,,,CU01,,,
,PU05,BU05,,,ML01,BL08,BU06,,,,,,,,,,,,,,,MU06,,,,,,,,,AL03,,,PL06,,,BL04,,,
,PL04,BL07,,,BU04,CL05,MU08,,,,,,,,,,,,,,,BL08,,,,,,,,,MU04,,,MU02,,,CL08,,,
,CU02,PL01,,,PU07,AL07,AU03,,,,,,,,,,,,,,,CU04,,,,,,,,,ML04,,,ML02,,,CL02,,,
,CL07,AU02,,,CU08,AU07,CU05,,,,,,,,,,,,,,,AU06,,,,,,,,,MU08,,,BU06,,,AL08,,,
,MU01,AL03,,,PL07,BU06,MU03,,,,,,,,,,,,,,,BU04,,,,,,,,,ML01,,,PL01,,,,,,
,BU08,BL02,,,AU04,,PL07,,,,,,,,,,,,,,,MU08,,,,,,,,,PL01,,,CL01,,,,,,
,AU02,AU04,,,AU05,,AU04,,,,,,,,,,,,,,,BL04,,,,,,,,,MU07,,,PL08,,,,,,
,MU06,PU05,,,PU01,,,,,,,,,,,,,,,,,MU03,,,,,,,,,BU07,,,AL04,,,,,,
,ML06,PL06,,,CL07,,,,,,,,,,,,,,,,,BU03,,,,,,,,,ML08,,,CU08,,,,,,
,CL05,CL07,,,PU05,,,,,,,,,,,,,,,,,,,,,,,,,,CL04,,,BL08,,,,,,
,ML02,PL05,,,PL08,,,,,,,,,,,,,,,,,,,,,,,,,,CU07,,,BL02,,,,,,
,BU05,BU08,,,PU02,,,,,,,,,,,,,,,,,,,,,,,,,,BL02,,,AU04,,,,,,
99,CU05,AU07,,,AL03,,,,,,,,,,,,,,,,,,,,,,,,,,ML07,,,PU03,,,,,,
,,CL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PU03,,,AL01,,,,,,
,,ML08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CU05,,,CL06,,,,,,
,,PU07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL08,,,ML07,,,,,,
,,CL03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL05,,,PL02,,,,,,
,,BU02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL08,,,,,,,,,
,,CL08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06,,,,,,,,,
,,CU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU03,,,,,,,,,
