,Mon:1,Mon:2,Mon:R1,Mon:R2,Mon:3,Mon:4,Mon:5,Mon:6,Tue:1,Tue:2,Tue:R1,Tue:R2,Tue:3,Tue:4,Tue:5,Tue:6,Wed:1,Wed:2,Wed:R1,Wed:R2,Wed:3,Wed:4,Wed:5,Wed:6,Thu:1,Thu:2,Thu:R1,Thu:R2,Thu:3,Thu:4,Thu:5,Thu:6,Fri:1,Fri:2,Fri:R1,Fri:R2,Fri:3,Fri:4,Fri:5,Fri:6
18,PL05,PU03,CL09,CU06,,,THEA,BU02,,THEA,CL09,CU06,,,PU04,BU02,,PL05,CL09,CU06,,,,BU02,PU04,,CL09,CU06,ML04,,,BU02,,,CL09,CU06,MU05,PL05,,BU02
19,PU02,THEA,CU02,DL01,,,,BU03,,,CU02,DL01,,,THEA,BU03,,THEA,CU02,DL01,,,,BU03,THEA,,CU02,DL01,PE03,,,BU03,,,CU02,DL01,MU08,THEA,,BU03
20,PU03,,CU03,DU05,,,,BU04,,,CU03,DU05,,,,BU04,,,CU03,DU05,,,,BU04,,,CU03,DU05,PL05,,,BU04,,,CU03,DU05,PU02,,,BU04
21,PU04,,CU04,DU06,,,,BU05,,,CU04,DU06,,,,BU05,,,CU04,DU06,,,,BU05,,,CU04,DU06,THEA,,,BU05,,,CU04,DU06,THEA,,,BU05
22,PU05,,CU05,DU07,,,,BU06,,,CU05,DU07,,,,BU06,,,CU05,DU07,,,,BU06,,,CU05,DU07,,,,BU06,,,CU05,DU07,,,,BU06
23,THEA,,CU06,DU08,,,,CL03,,,CU06,DU08,,,,CL03,,,CU06,DU08,,,,CL03,,,CU06,DU08,,,,CL03,,,CU06,DU08,,,,CL03
24,,,CU07,LIBR,,,,CL04,,,CU07,LIBR,,,,CL04,,,CU07,LIBR,,,,CL04,,,CU07,LIBR,,,,CL04,,,CU07,LIBR,,,,CL04
25,,,DL01,ML02,,,,CL05,,,DL01,ML02,,,,CL05,,,DL01,ML02,,,,CL05,,,DL01,ML02,,,,CL05,,,DL01,ML02,,,,CL05
26,,,LIBR,ML03,,,,CL06,,,LIBR,ML03,,,,CL06,,,LIBR,ML03,,,,CL06,,,LIBR,ML03,,,,CL06,,,LIBR,ML03,,,,CL06
27,,,ML02,ML04,,,,CL07,,,ML02,ML04,,,,CL07,,,ML02,ML04,,,,CL07,,,ML02,ML04,,,,CL07,,,ML02,ML04,,,,CL07
28,,,ML03,ML07,,,,CL09,,,ML03,ML07,,,,CL09,,,ML03,ML07,,,,CL09,,,ML03,ML07,,,,CL09,,,ML03,ML07,,,,CL09
29,,,ML05,PE01,,,,CU02,,,ML05,PE01,,,,CU02,,,ML05,PE01,,,,CU02,,,ML05,PE01,,,,CU02,,,ML05,PE01,,,,CU02
30,,,ML06,PE02,,,,CU03,,,ML06,PE02,,,,CU03,,,ML06,PE02,,,,CU03,,,ML06,PE02,,,,CU03,,,ML06,PE02,,,,CU03
31,,,ML07,PE03,,,,CU04,,,ML07,PE03,,,,CU04,,,ML07,PE03,,,,CU04,,,ML07,PE03,,,,CU04,,,ML07,PE03,,,,CU04
32,,,ML08,PE04,,,,CU05,,,ML08,PE04,,,,CU05,,,ML08,PE04,,,,CU05,,,ML08,PE04,,,,CU05,,,ML08,PE04,,,,CU05
33,,,MU03,PL03,,,,CU06,,,MU03,PL03,,,,CU06,,,MU03,PL03,,,,CU06,,,MU03,PL03,,,,CU06,,,MU03,PL03,,,,CU06
34,,,MU04,PL04,,,,CU07,,,MU04,PL04,,,,CU07,,,MU04,PL04,,,,CU07,,,MU04,PL04,,,,CU07,,,MU04,PL04,,,,CU07
35,,,MU05,PL05,,,,DL01,,,MU05,PL05,,,,DL01,,,MU05,PL05,,,,DL01,,,MU05,PL05,,,,DL01,,,MU05,PL05,,,,DL01
36,,,MU06,PL07,,,,DU05,,,MU06,PL07,,,,DU05,,,MU06,PL07,,,,DU05,,,MU06,PL07,,,,DU05,,,MU06,PL07,,,,DU05
37,,,MU07,PU02,,,,DU06,,,MU07,PU02,,,,DU06,,,MU07,PU02,,,,DU06,,,MU07,PU02,,,,DU06,,,MU07,PU02,,,,DU06
38,,,MU08,PU03,,,,DU07,,,MU08,PU03,,,,DU07,,,MU08,PU03,,,,DU07,,,MU08,PU03,,,,DU07,,,MU08,PU03,,,,DU07
39,,,PE01,PU06,,,,DU08,,,PE01,PU06,,,,DU08,,,PE01,PU06,,,,DU08,,,PE01,PU06,,,,DU08,,,PE01,PU06,,,,DU08
40,,,PE02,THEA,,,,LIBR,,,PE02,THEA,,,,LIBR,,,PE02,THEA,,,,LIBR,,,PE02,THEA,,,,LIBR,,,PE02,THEA,,,,LIBR
41,,,PE03,,,,,ML02,,,PE03,,,,,ML02,,,PE03,,,,,ML02,,,PE03,,,,,ML02,,,PE03,,,,,ML02
42,,,PE04,,,,,ML03,,,PE04,,,,,ML03,,,PE04,,,,,ML03,,,PE04,,,,,ML03,,,PE04,,,,,ML03
43,,,PL05,,,,,ML04,,,PL05,,,,,ML04,,,PL05,,,,,ML04,,,PL05,,,,,ML04,,,PL05,,,,,ML04
44,,,PL08,,,,,ML05,,,PL08,,,,,ML05,,,PL08,,,,,ML05,,,PL08,,,,,ML05,,,PL08,,,,,ML05
45,,,PU04,,,,,ML06,,,PU04,,,,,ML06,,,PU04,,,,,ML06,,,PU04,,,,,ML06,,,PU04,,,,,ML06
46,,,THEA,,,,,ML07,,,THEA,,,,,ML07,,,THEA,,,,,ML07,,,THEA,,,,,ML07,,,THEA,,,,,ML07
47,,,,,,,,ML08,,,,,,,,ML08,,,,,,,,ML08,,,,,,,,ML08,,,,,,,,ML08
48,,,,,,,,MU03,,,,,,,,MU03,,,,,,,,MU03,,,,,,,,MU03,,,,,,,,MU03
49,,,,,,,,MU04,,,,,,,,MU04,,,,,,,,MU04,,,,,,,,MU04,,,,,,,,MU04
50,,,,,,,,MU05,,,,,,,,MU05,,,,,,,,MU05,,,,,,,,MU05,,,,,,,,MU05
51,,,,,,,,MU06,,,,,,,,MU06,,,,,,,,MU06,,,,,,,,MU06,,,,,,,,MU06
52,,,,,,,,MU07,,,,,,,,MU07,,,,,,,,MU07,,,,,,,,MU07,,,,,,,,MU07
53,,,,,,,,MU08,,,,,,,,MU08,,,,,,,,MU08,,,,,,,,MU08,,,,,,,,MU08
54,,,,,,,,PE01,,,,,,,,PE01,,,,,,,,PE01,,,,,,,,PE01,,,,,,,,PE01
55,,,,,,,,PE02,,,,,,,,PE02,,,,,,,,PE02,,,,,,,,PE02,,,,,,,,PE02
56,,,,,,,,PE03,,,,,,,,PE03,,,,,,,,PE03,,,,,,,,PE03,,,,,,,,PE03
57,,,,,,,,PE04,,,,,,,,PE04,,,,,,,,PE04,,,,,,,,PE04,,,,,,,,PE04
58,,,,,,,,PL03,,,,,,,,PL03,,,,,,,,PL03,,,,,,,,PL03,,,,,,,,PL03
59,,,,,,,,PL04,,,,,,,,PL04,,,,,,,,PL04,,,,,,,,PL04,,,,,,,,PL04
60,,,,,,,,PL05,,,,,,,,PL05,,,,,,,,PL05,,,,,,,,PL05,,,,,,,,PL05
61,,,,,,,,PL07,,,,,,,,PL07,,,,,,,,PL07,,,,,,,,PL07,,,,,,,,PL07
62,,,,,,,,PL08,,,,,,,,PL08,,,,,,,,PL08,,,,,,,,PL08,,,,,,,,PL08
63,,,,,,,,PU02,,,,,,,,PU02,,,,,,,,PU02,,,,,,,,PU02,,,,,,,,PU02
64,,,,,,,,PU03,,,,,,,,PU03,,,,,,,,PU03,,,,,,,,PU03,,,,,,,,PU03
65,,,,,,,,PU04,,,,,,,,PU04,,,,,,,,PU04,,,,,,,,PU04,,,,,,,,PU04
66,,,,,,,,PU05,,,,,,,,PU05,,,,,,,,PU05,,,,,,,,PU05,,,,,,,,PU05
67,,,,,,,,PU06,,,,,,,,PU06,,,,,,,,PU06,,,,,,,,PU06,,,,,,,,PU06
68,,,,,,,,THEA,,,,,,,,THEA,,,,,,,,THEA,,,,,,,,THEA,,,,,,,,THEA
